T,P,DD,Td,result
33.0,756.7,Wind blowing from the east-southeast,22.5,3 m/s (Gentle breeze)
36.2,757.3,Wind blowing from the south-east,21.2,3 m/s (Gentle breeze)
32.2,759.6,Wind blowing from the east-northeast,24.1,2 m/s (Light breeze)
27.4,759.8,Wind blowing from the south-west,23.5,2 m/s (Light breeze)
27.3,758.6,Wind blowing from the south-west,22.9,2 m/s (Light breeze)
28.9,758.8,Wind blowing from the south-southeast,25.0,2 m/s (Light breeze)
30.0,759.7,Wind blowing from the south-southeast,24.9,2 m/s (Light breeze)
31.5,758.4,Wind blowing from the south-southeast,24.8,3 m/s (Gentle breeze)
34.0,757.0,Wind blowing from the east-northeast,24.8,2 m/s (Light breeze)
36.0,757.4,Wind blowing from the south-east,20.9,3 m/s (Gentle breeze)
33.5,759.9,Wind blowing from the west,23.6,3 m/s (Gentle breeze)
28.5,760.3,"Calm, no wind",23.1,0 m/s (Calm)
27.2,759.1,Wind blowing from the north-west,22.8,2 m/s (Light breeze)
28.8,759.1,Wind blowing from the south,23.3,2 m/s (Light breeze)
29.6,760.1,Wind blowing from the south,22.7,3 m/s (Gentle breeze)
30.6,759.1,Wind blowing from the south-east,22.0,3 m/s (Gentle breeze)
33.8,757.0,Wind blowing from the south-southeast,20.2,3 m/s (Gentle breeze)
35.4,758.0,Wind blowing from the south-east,19.8,3 m/s (Gentle breeze)
33.0,760.1,Wind blowing from the south-east,20.3,3 m/s (Gentle breeze)
28.6,760.6,Wind blowing from the south-southeast,23.7,2 m/s (Light breeze)
28.2,759.3,Wind blowing from the south-east,24.7,2 m/s (Light breeze)
28.4,758.9,Wind blowing from the east-southeast,24.0,2 m/s (Light breeze)
29.4,759.8,Wind blowing from the north-east,25.1,2 m/s (Light breeze)
30.6,758.9,Wind blowing from the north-east,24.9,2 m/s (Light breeze)
34.0,756.7,Wind blowing from the east-northeast,22.0,3 m/s (Gentle breeze)
34.6,757.4,Wind blowing from the east-southeast,22.2,3 m/s (Gentle breeze)
32.6,760.0,Wind blowing from the north-east,23.9,3 m/s (Gentle breeze)
28.4,760.2,Wind blowing from the south-southeast,24.0,2 m/s (Light breeze)
27.8,758.5,Wind blowing from the east-southeast,25.1,2 m/s (Light breeze)
28.4,759.0,Wind blowing from the south-east,24.3,2 m/s (Light breeze)
29.0,759.3,Wind blowing from the north-northeast,23.8,2 m/s (Light breeze)
30.2,758.4,Wind blowing from the east-northeast,23.9,2 m/s (Light breeze)
32.8,756.6,Wind blowing from the east-northeast,23.5,2 m/s (Light breeze)
34.2,758.3,Wind blowing from the south-east,23.0,3 m/s (Gentle breeze)
32.4,760.5,Wind blowing from the east-southeast,23.4,3 m/s (Gentle breeze)
28.6,760.6,Wind blowing from the south,23.1,2 m/s (Light breeze)
28.2,759.2,Wind blowing from the east,22.9,2 m/s (Light breeze)
28.8,759.0,Wind blowing from the north-east,25.3,2 m/s (Light breeze)
29.4,760.1,Wind blowing from the north-northwest,25.4,2 m/s (Light breeze)
30.4,758.7,Wind blowing from the north-east,25.3,2 m/s (Light breeze)
34.2,756.7,Wind blowing from the south-southeast,21.7,3 m/s (Gentle breeze)
36.2,757.8,Wind blowing from the east-northeast,21.2,3 m/s (Gentle breeze)
33.0,760.3,Wind blowing from the east-southeast,23.1,3 m/s (Gentle breeze)
28.0,760.8,Wind blowing from the south-southeast,22.7,2 m/s (Light breeze)
27.8,759.2,Wind blowing from the south,23.1,2 m/s (Light breeze)
28.7,759.1,Wind blowing from the south,25.6,2 m/s (Light breeze)
28.6,760.2,Wind blowing from the north-east,25.4,2 m/s (Light breeze)
31.4,758.9,Wind blowing from the north-east,24.1,2 m/s (Light breeze)
34.4,757.0,Wind blowing from the east,20.6,3 m/s (Gentle breeze)
35.2,757.5,Wind blowing from the north-east,22.9,3 m/s (Gentle breeze)
32.2,759.7,Wind blowing from the south-east,23.2,3 m/s (Gentle breeze)
28.6,760.0,Wind blowing from the east,23.7,2 m/s (Light breeze)
27.5,758.1,Wind blowing from the south,22.9,2 m/s (Light breeze)
28.2,758.9,Wind blowing from the south-southeast,24.4,2 m/s (Light breeze)
29.4,759.7,Wind blowing from the south-southeast,24.2,2 m/s (Light breeze)
30.4,759.1,Wind blowing from the east-northeast,24.4,2 m/s (Light breeze)
32.6,756.9,Wind blowing from the east-northeast,23.0,3 m/s (Gentle breeze)
35.8,757.6,Wind blowing from the east-southeast,20.7,3 m/s (Gentle breeze)
33.8,759.7,Wind blowing from the east-southeast,19.9,3 m/s (Gentle breeze)
29.4,760.3,Wind blowing from the south-east,24.8,2 m/s (Light breeze)
27.6,758.8,Wind blowing from the south-southeast,25.2,2 m/s (Light breeze)
28.4,759.1,Wind blowing from the south-southeast,25.4,2 m/s (Light breeze)
29.4,760.3,Wind blowing from the south-east,23.7,2 m/s (Light breeze)
30.4,759.3,Wind blowing from the south-southeast,24.2,3 m/s (Gentle breeze)
33.8,757.1,Wind blowing from the south-east,20.2,3 m/s (Gentle breeze)
35.0,758.1,Wind blowing from the south-southeast,19.7,3 m/s (Gentle breeze)
33.6,759.6,Wind blowing from the south-east,22.3,3 m/s (Gentle breeze)
28.6,760.0,Wind blowing from the south,23.4,2 m/s (Light breeze)
27.8,758.9,Wind blowing from the east-southeast,24.0,2 m/s (Light breeze)
28.7,758.9,Wind blowing from the south-southeast,23.6,2 m/s (Light breeze)
29.5,760.0,Wind blowing from the south-southeast,23.0,3 m/s (Gentle breeze)
30.3,758.6,Wind blowing from the south-southeast,22.7,3 m/s (Gentle breeze)
33.2,757.0,Wind blowing from the south-east,19.3,3 m/s (Gentle breeze)
35.0,757.6,Wind blowing from the south-southeast,18.6,4 m/s (Moderate breeze)
34.0,759.6,Wind blowing from the east-northeast,23.4,3 m/s (Gentle breeze)
28.0,760.1,Wind blowing from the south-southeast,24.2,2 m/s (Light breeze)
27.8,758.5,Wind blowing from the south,24.5,2 m/s (Light breeze)
29.2,759.7,Wind blowing from the south-east,23.6,2 m/s (Light breeze)
30.2,758.3,Wind blowing from the south-southeast,23.3,3 m/s (Gentle breeze)
33.6,756.7,Wind blowing from the south-southeast,19.5,3 m/s (Gentle breeze)
34.0,757.7,Wind blowing from the east,18.8,3 m/s (Gentle breeze)
33.6,759.7,Wind blowing from the south-southeast,22.3,3 m/s (Gentle breeze)
28.4,759.9,Wind blowing from the west,23.5,2 m/s (Light breeze)
27.6,758.3,Wind blowing from the south-east,24.9,2 m/s (Light breeze)
28.4,758.2,Wind blowing from the south-east,24.9,2 m/s (Light breeze)
29.2,759.4,Wind blowing from the south-east,24.6,2 m/s (Light breeze)
29.8,758.2,Wind blowing from the south,24.1,3 m/s (Gentle breeze)
32.6,756.4,Wind blowing from the south-southeast,22.1,3 m/s (Gentle breeze)
35.0,757.4,Wind blowing from the south-east,20.7,3 m/s (Gentle breeze)
33.6,759.2,Wind blowing from the south-southeast,23.2,3 m/s (Gentle breeze)
28.8,759.4,Wind blowing from the south-west,24.2,2 m/s (Light breeze)
28.2,758.6,Wind blowing from the south-southeast,25.0,2 m/s (Light breeze)
28.6,757.8,Wind blowing from the east-southeast,24.2,2 m/s (Light breeze)
29.2,759.0,Wind blowing from the east-southeast,24.0,2 m/s (Light breeze)
31.0,757.9,Wind blowing from the south-southeast,23.0,3 m/s (Gentle breeze)
33.0,757.0,Wind blowing from the south-east,22.5,3 m/s (Gentle breeze)
33.8,757.9,Wind blowing from the south-east,21.9,3 m/s (Gentle breeze)
33.2,759.6,Wind blowing from the south-east,21.8,3 m/s (Gentle breeze)
27.8,759.7,Wind blowing from the east-southeast,24.3,2 m/s (Light breeze)
28.2,758.5,Wind blowing from the south-southwest,23.8,2 m/s (Light breeze)
28.6,758.8,Wind blowing from the south-east,23.7,2 m/s (Light breeze)
29.2,759.5,Wind blowing from the east,23.4,2 m/s (Light breeze)
29.8,758.2,Wind blowing from the south-southeast,23.8,3 m/s (Gentle breeze)
32.8,756.9,Wind blowing from the south-southeast,20.7,3 m/s (Gentle breeze)
35.4,757.3,Wind blowing from the south-east,19.5,3 m/s (Gentle breeze)
34.4,759.4,Wind blowing from the south-east,22.0,3 m/s (Gentle breeze)
28.4,760.0,Wind blowing from the west-northwest,22.9,3 m/s (Gentle breeze)
27.8,758.9,Wind blowing from the south,23.4,2 m/s (Light breeze)
28.8,758.5,Wind blowing from the south-east,22.4,3 m/s (Gentle breeze)
29.6,759.6,Wind blowing from the south-east,23.6,3 m/s (Gentle breeze)
30.4,758.8,Wind blowing from the south-east,23.6,3 m/s (Gentle breeze)
33.2,757.1,Wind blowing from the south-east,22.5,3 m/s (Gentle breeze)
34.8,757.9,Wind blowing from the south-southeast,20.8,3 m/s (Gentle breeze)
32.6,760.2,Wind blowing from the north-east,23.9,3 m/s (Gentle breeze)
27.5,760.7,Wind blowing from the west-northwest,23.2,2 m/s (Light breeze)
27.6,759.4,Wind blowing from the south-southeast,24.6,2 m/s (Light breeze)
28.0,759.4,Wind blowing from the east-southeast,24.5,2 m/s (Light breeze)
29.0,760.0,Wind blowing from the east-southeast,25.0,2 m/s (Light breeze)
30.0,758.5,Wind blowing from the south-east,23.7,3 m/s (Gentle breeze)
32.8,757.1,Wind blowing from the south-southeast,21.0,3 m/s (Gentle breeze)
34.2,758.4,Wind blowing from the south-southeast,18.7,4 m/s (Moderate breeze)
32.6,760.7,Wind blowing from the south-southeast,22.1,3 m/s (Gentle breeze)
27.0,761.0,Wind blowing from the east-southeast,22.8,2 m/s (Light breeze)
28.0,759.6,Wind blowing from the south-southeast,23.6,2 m/s (Light breeze)
28.6,758.9,Wind blowing from the south-southeast,24.0,2 m/s (Light breeze)
29.6,759.3,Wind blowing from the south-southeast,23.6,3 m/s (Gentle breeze)
30.8,758.4,Wind blowing from the south-east,21.6,3 m/s (Gentle breeze)
32.6,756.8,Wind blowing from the south-east,20.8,3 m/s (Gentle breeze)
34.6,757.9,Wind blowing from the south-southeast,20.6,3 m/s (Gentle breeze)
32.2,759.8,Wind blowing from the east-northeast,23.5,3 m/s (Gentle breeze)
27.8,760.1,Wind blowing from the east,22.8,2 m/s (Light breeze)
27.0,758.8,Wind blowing from the west-northwest,22.8,2 m/s (Light breeze)
29.3,759.5,Wind blowing from the north,24.3,2 m/s (Light breeze)
30.8,758.2,Wind blowing from the south-east,23.4,3 m/s (Gentle breeze)
32.8,756.7,Wind blowing from the east-southeast,22.5,3 m/s (Gentle breeze)
34.4,757.8,Wind blowing from the east-southeast,21.3,3 m/s (Gentle breeze)
31.0,760.3,Wind blowing from the north-east,24.2,2 m/s (Light breeze)
28.2,760.7,Wind blowing from the west,23.5,2 m/s (Light breeze)
27.6,759.5,Wind blowing from the south-southeast,23.8,2 m/s (Light breeze)
28.4,759.4,Wind blowing from the south,24.3,2 m/s (Light breeze)
29.2,760.5,Wind blowing from the north,24.5,2 m/s (Light breeze)
30.3,759.4,Wind blowing from the south-southeast,24.3,3 m/s (Gentle breeze)
32.2,757.7,Wind blowing from the south-east,23.5,3 m/s (Gentle breeze)
34.8,758.2,Wind blowing from the south-southeast,20.8,3 m/s (Gentle breeze)
32.8,760.0,Wind blowing from the south-east,23.8,3 m/s (Gentle breeze)
27.8,760.6,Wind blowing from the south-east,23.1,2 m/s (Light breeze)
27.0,758.8,Wind blowing from the west,23.3,2 m/s (Light breeze)
28.1,758.9,Wind blowing from the south-east,24.4,2 m/s (Light breeze)
28.7,759.9,Wind blowing from the south-southeast,24.9,2 m/s (Light breeze)
30.0,759.0,Wind blowing from the south-southeast,24.3,3 m/s (Gentle breeze)
32.0,757.2,Wind blowing from the south-east,23.6,3 m/s (Gentle breeze)
33.8,758.5,Wind blowing from the south-east,20.7,3 m/s (Gentle breeze)
33.2,760.4,Wind blowing from the south-southeast,20.8,3 m/s (Gentle breeze)
27.5,760.6,Wind blowing from the south-east,23.5,2 m/s (Light breeze)
28.0,758.6,Wind blowing from the south-east,21.2,3 m/s (Gentle breeze)
28.2,758.7,Wind blowing from the south-east,24.4,2 m/s (Light breeze)
29.2,759.7,Wind blowing from the south-southeast,23.4,3 m/s (Gentle breeze)
29.8,758.5,Wind blowing from the south-east,22.6,3 m/s (Gentle breeze)
32.2,757.0,Wind blowing from the south-southeast,21.9,3 m/s (Gentle breeze)
33.8,757.6,Wind blowing from the south-southeast,22.8,3 m/s (Gentle breeze)
32.4,759.5,Wind blowing from the south-east,24.0,3 m/s (Gentle breeze)
27.6,760.3,Wind blowing from the west,23.2,2 m/s (Light breeze)
28.0,758.6,Wind blowing from the south-east,21.2,3 m/s (Gentle breeze)
28.2,758.2,Wind blowing from the south-southwest,22.4,3 m/s (Gentle breeze)
29.8,759.5,Wind blowing from the east-southeast,20.1,3 m/s (Gentle breeze)
31.4,758.5,Wind blowing from the south-east,21.3,3 m/s (Gentle breeze)
34.0,756.8,Wind blowing from the east,18.9,3 m/s (Gentle breeze)
35.4,757.6,Wind blowing from the south-east,19.1,3 m/s (Gentle breeze)
33.2,759.9,Wind blowing from the south-southeast,22.1,3 m/s (Gentle breeze)
27.4,760.0,Wind blowing from the east-southeast,23.8,2 m/s (Light breeze)
27.2,758.7,Wind blowing from the south,24.2,2 m/s (Light breeze)
27.6,757.9,Wind blowing from the south-southeast,24.3,2 m/s (Light breeze)
28.8,759.2,Wind blowing from the south-southeast,24.5,2 m/s (Light breeze)
29.3,758.2,Wind blowing from the south-east,24.3,2 m/s (Light breeze)
32.4,756.7,Wind blowing from the south-east,23.7,3 m/s (Gentle breeze)
34.5,757.5,Wind blowing from the south-east,23.2,3 m/s (Gentle breeze)
32.6,760.1,Wind blowing from the south-southeast,23.9,3 m/s (Gentle breeze)
26.8,760.4,Wind blowing from the west-northwest,23.2,2 m/s (Light breeze)
26.8,758.3,Wind blowing from the south-southeast,24.3,2 m/s (Light breeze)
27.2,759.1,Wind blowing from the south-southeast,24.5,2 m/s (Light breeze)
28.4,759.8,Wind blowing from the south-southeast,24.9,2 m/s (Light breeze)
29.8,758.8,Wind blowing from the east-southeast,23.8,2 m/s (Light breeze)
32.0,757.3,Wind blowing from the south,22.9,3 m/s (Gentle breeze)
34.6,758.3,Wind blowing from the east-southeast,21.9,3 m/s (Gentle breeze)
32.6,760.3,Wind blowing from the south-east,21.1,3 m/s (Gentle breeze)
27.4,760.9,Wind blowing from the west,22.4,2 m/s (Light breeze)
27.6,759.0,Wind blowing from the east-southeast,24.3,2 m/s (Light breeze)
28.0,759.9,Wind blowing from the south-southeast,23.9,2 m/s (Light breeze)
28.6,760.8,Wind blowing from the south-east,24.2,2 m/s (Light breeze)
29.6,759.5,Wind blowing from the south-east,24.2,2 m/s (Light breeze)
32.8,757.8,Wind blowing from the east-northeast,21.7,3 m/s (Gentle breeze)
34.0,758.6,Wind blowing from the south-southeast,19.8,3 m/s (Gentle breeze)
31.4,760.6,Wind blowing from the east-northeast,20.0,3 m/s (Gentle breeze)
26.6,760.9,Wind blowing from the south-west,21.5,2 m/s (Light breeze)
26.0,759.6,Wind blowing from the south,20.6,2 m/s (Light breeze)
27.0,759.6,Wind blowing from the west,21.3,2 m/s (Light breeze)
28.4,760.0,Wind blowing from the south-southeast,23.0,2 m/s (Light breeze)
30.0,759.5,Wind blowing from the south-southeast,21.7,3 m/s (Gentle breeze)
33.2,757.3,Wind blowing from the south-southeast,17.6,4 m/s (Moderate breeze)
34.0,758.2,Wind blowing from the south-east,19.1,3 m/s (Gentle breeze)
31.4,760.3,Wind blowing from the north-northeast,23.2,3 m/s (Gentle breeze)
26.0,760.4,Wind blowing from the east-southeast,20.9,2 m/s (Light breeze)
25.8,759.6,Wind blowing from the south-southeast,21.3,2 m/s (Light breeze)
27.6,759.7,Wind blowing from the south-southwest,22.3,2 m/s (Light breeze)
28.6,760.0,Wind blowing from the south-east,23.4,2 m/s (Light breeze)
30.0,758.5,Wind blowing from the east,22.4,2 m/s (Light breeze)
32.9,757.0,Wind blowing from the east,19.8,3 m/s (Gentle breeze)
34.5,757.9,Wind blowing from the south-east,18.7,3 m/s (Gentle breeze)
32.0,759.7,Wind blowing from the east-southeast,21.2,3 m/s (Gentle breeze)
25.8,760.0,"Calm, no wind",21.4,0 m/s (Calm)
25.2,759.0,Wind blowing from the east-southeast,21.8,1 m/s (Light air)
27.4,760.0,Wind blowing from the south-southeast,23.3,2 m/s (Light breeze)
28.6,759.4,Wind blowing from the south,22.8,2 m/s (Light breeze)
29.8,758.2,Wind blowing from the south-east,21.1,3 m/s (Gentle breeze)
33.0,757.1,Wind blowing from the south-southeast,17.5,4 m/s (Moderate breeze)
34.5,758.0,Wind blowing from the south-southeast,18.5,4 m/s (Moderate breeze)
32.5,760.3,Wind blowing from the south-east,21.3,3 m/s (Gentle breeze)
26.6,760.8,Wind blowing from the west-northwest,22.1,2 m/s (Light breeze)
26.8,759.6,Wind blowing from the south-southeast,22.9,2 m/s (Light breeze)
27.6,759.5,Wind blowing from the south-southeast,24.6,2 m/s (Light breeze)
28.4,760.4,Wind blowing from the south-east,23.7,2 m/s (Light breeze)
29.6,759.2,Wind blowing from the south-east,21.8,3 m/s (Gentle breeze)
32.0,757.8,Wind blowing from the south-east,21.1,3 m/s (Gentle breeze)
34.6,758.5,Wind blowing from the south-east,19.5,3 m/s (Gentle breeze)
31.8,760.6,Wind blowing from the east-southeast,23.9,2 m/s (Light breeze)
27.2,760.6,Wind blowing from the south,23.3,2 m/s (Light breeze)
27.2,759.1,Wind blowing from the east-southeast,24.2,2 m/s (Light breeze)
27.6,759.2,Wind blowing from the south-east,23.5,2 m/s (Light breeze)
28.5,759.4,Wind blowing from the south-southeast,23.0,2 m/s (Light breeze)
29.0,758.2,Wind blowing from the east-southeast,22.0,2 m/s (Light breeze)
32.5,756.8,Wind blowing from the south-east,19.5,3 m/s (Gentle breeze)
34.6,757.8,Wind blowing from the south-east,20.2,3 m/s (Gentle breeze)
26.54,760.0,Wind blowing from the north-northeast,21.5,2 m/s (Light breeze)
25.8,760.1,Wind blowing from the west,21.9,2 m/s (Light breeze)
25.6,758.3,Wind blowing from the east-southeast,22.8,1 m/s (Light air)
27.0,758.5,Wind blowing from the south-east,23.4,2 m/s (Light breeze)
28.0,759.2,Wind blowing from the south-southeast,23.3,2 m/s (Light breeze)
28.8,758.6,Wind blowing from the south-southeast,22.1,3 m/s (Gentle breeze)
31.4,756.7,Wind blowing from the south-east,19.3,3 m/s (Gentle breeze)
34.2,758.0,Wind blowing from the south-east,16.0,4 m/s (Moderate breeze)
32.5,759.9,Wind blowing from the south-east,20.3,3 m/s (Gentle breeze)
26.0,759.9,Wind blowing from the east,21.8,1 m/s (Light air)
24.8,758.0,Wind blowing from the south-southeast,22.0,1 m/s (Light air)
26.6,758.2,Wind blowing from the east,23.0,1 m/s (Light air)
28.2,759.8,Wind blowing from the south-southeast,22.0,3 m/s (Gentle breeze)
29.4,758.2,Wind blowing from the south-southeast,21.9,3 m/s (Gentle breeze)
32.8,756.4,Wind blowing from the south-east,18.3,3 m/s (Gentle breeze)
34.4,757.0,Wind blowing from the east-southeast,16.7,3 m/s (Gentle breeze)
32.6,759.6,Wind blowing from the east-southeast,18.7,3 m/s (Gentle breeze)
25.2,759.7,Wind blowing from the south,20.6,1 m/s (Light air)
25.0,758.2,"Calm, no wind",20.4,0 m/s (Calm)
26.8,758.2,Wind blowing from the west,21.1,2 m/s (Light breeze)
28.0,758.8,Wind blowing from the south-southeast,19.6,3 m/s (Gentle breeze)
29.2,758.4,Wind blowing from the south-southeast,22.8,3 m/s (Gentle breeze)
32.4,756.5,Wind blowing from the south-southeast,18.9,3 m/s (Gentle breeze)
34.1,757.7,Wind blowing from the east-southeast,22.4,3 m/s (Gentle breeze)
30.8,759.7,Wind blowing from the north-east,22.5,3 m/s (Gentle breeze)
26.0,759.8,Wind blowing from the south-east,23.2,2 m/s (Light breeze)
25.3,758.3,"Calm, no wind",21.8,0 m/s (Calm)
27.7,758.3,Wind blowing from the south-southeast,22.9,2 m/s (Light breeze)
28.7,759.3,Wind blowing from the south-southeast,22.0,3 m/s (Gentle breeze)
29.7,757.6,Wind blowing from the south-southeast,20.6,3 m/s (Gentle breeze)
32.3,755.8,Wind blowing from the south-southeast,20.3,3 m/s (Gentle breeze)
34.2,756.2,Wind blowing from the south-southeast,18.3,4 m/s (Moderate breeze)
31.4,758.8,Wind blowing from the north-east,22.6,3 m/s (Gentle breeze)
26.0,759.7,Wind blowing from the west,21.5,2 m/s (Light breeze)
25.6,758.1,Wind blowing from the east,21.6,1 m/s (Light air)
27.4,758.2,Wind blowing from the south,22.7,2 m/s (Light breeze)
28.6,759.2,Wind blowing from the south-southeast,21.9,3 m/s (Gentle breeze)
29.4,758.2,Wind blowing from the south-east,20.9,3 m/s (Gentle breeze)
32.6,756.7,Wind blowing from the east-southeast,19.1,3 m/s (Gentle breeze)
34.2,757.6,Wind blowing from the south,17.2,3 m/s (Gentle breeze)
30.0,759.5,Wind blowing from the east-northeast,21.6,2 m/s (Light breeze)
25.6,759.7,Wind blowing from the south-west,22.4,2 m/s (Light breeze)
25.0,758.8,Wind blowing from the east,20.4,1 m/s (Light air)
26.4,759.0,Wind blowing from the south,20.8,2 m/s (Light breeze)
27.6,759.4,Wind blowing from the south-southeast,22.1,2 m/s (Light breeze)
28.7,758.2,Wind blowing from the south-southeast,21.7,3 m/s (Gentle breeze)
31.7,756.5,Wind blowing from the south-southeast,16.7,3 m/s (Gentle breeze)
32.5,757.3,Wind blowing from the south-east,16.8,4 m/s (Moderate breeze)
31.4,759.4,Wind blowing from the south-southeast,20.8,3 m/s (Gentle breeze)
25.0,760.0,Wind blowing from the north-northwest,20.5,1 m/s (Light air)
26.0,758.8,Wind blowing from the east,21.2,1 m/s (Light air)
26.2,758.4,Wind blowing from the north-west,21.7,1 m/s (Light air)
27.2,758.8,Wind blowing from the south-east,21.9,2 m/s (Light breeze)
29.2,758.0,Wind blowing from the east-southeast,21.3,2 m/s (Light breeze)
31.8,756.5,Wind blowing from the south-east,19.5,3 m/s (Gentle breeze)
33.4,757.7,Wind blowing from the east-southeast,18.7,3 m/s (Gentle breeze)
32.0,759.7,Wind blowing from the south-east,20.1,3 m/s (Gentle breeze)
25.2,760.2,Wind blowing from the east,20.6,1 m/s (Light air)
26.0,758.8,Wind blowing from the east,21.2,1 m/s (Light air)
27.4,758.4,Wind blowing from the south,22.1,2 m/s (Light breeze)
28.0,758.6,Wind blowing from the south-east,22.4,2 m/s (Light breeze)
29.0,757.6,Wind blowing from the south-southeast,22.6,3 m/s (Gentle breeze)
32.6,756.1,Wind blowing from the east-southeast,20.5,3 m/s (Gentle breeze)
33.4,757.4,Wind blowing from the east-southeast,20.4,3 m/s (Gentle breeze)
31.4,759.3,Wind blowing from the east,21.6,3 m/s (Gentle breeze)
26.0,759.9,Wind blowing from the south-southeast,21.5,2 m/s (Light breeze)
26.2,757.3,Wind blowing from the south-southeast,22.6,2 m/s (Light breeze)
27.0,758.5,Wind blowing from the south-southeast,22.5,2 m/s (Light breeze)
27.6,759.4,Wind blowing from the south-east,22.3,2 m/s (Light breeze)
29.0,758.3,Wind blowing from the south-east,22.9,3 m/s (Gentle breeze)
33.2,756.5,Wind blowing from the east,19.8,3 m/s (Gentle breeze)
33.8,757.7,Wind blowing from the south-east,20.6,3 m/s (Gentle breeze)
30.6,759.5,Wind blowing from the east-southeast,21.7,3 m/s (Gentle breeze)
26.0,759.4,Wind blowing from the north-northwest,21.2,1 m/s (Light air)
25.2,757.8,Wind blowing from the south-southeast,21.5,1 m/s (Light air)
27.0,758.1,Wind blowing from the south-southeast,21.9,2 m/s (Light breeze)
27.8,758.7,Wind blowing from the south-east,21.9,2 m/s (Light breeze)
29.6,757.7,Wind blowing from the south-east,22.4,3 m/s (Gentle breeze)
31.8,756.4,Wind blowing from the south-east,21.8,3 m/s (Gentle breeze)
32.0,757.3,Wind blowing from the east-southeast,22.0,3 m/s (Gentle breeze)
29.6,759.2,Wind blowing from the east,23.0,2 m/s (Light breeze)
25.6,759.3,Wind blowing from the south-east,21.9,1 m/s (Light air)
26.6,758.3,Wind blowing from the south-east,24.4,1 m/s (Light air)
28.2,758.6,Wind blowing from the south-southeast,24.1,2 m/s (Light breeze)
29.0,759.2,Wind blowing from the south-east,23.2,2 m/s (Light breeze)
29.0,758.0,Wind blowing from the south-east,23.2,2 m/s (Light breeze)
32.6,756.2,Wind blowing from the east-northeast,22.1,3 m/s (Gentle breeze)
34.0,757.2,Wind blowing from the south-southeast,21.5,3 m/s (Gentle breeze)
32.0,759.1,Wind blowing from the south-east,22.3,3 m/s (Gentle breeze)
25.6,759.7,"Calm, no wind",21.6,0 m/s (Calm)
26.0,758.8,Wind blowing from the east-northeast,22.7,1 m/s (Light air)
26.6,758.8,Wind blowing from the south-southeast,23.3,2 m/s (Light breeze)
27.6,759.9,Wind blowing from the south-southeast,23.5,2 m/s (Light breeze)
28.8,758.7,Wind blowing from the south-east,22.7,3 m/s (Gentle breeze)
31.0,757.2,Wind blowing from the south-southeast,23.3,3 m/s (Gentle breeze)
33.0,758.0,Wind blowing from the south-east,22.8,3 m/s (Gentle breeze)
31.8,760.2,Wind blowing from the south-east,22.1,3 m/s (Gentle breeze)
